id,content,date,language,tags,title,ratings
377380-203585929805,السعر غالي جدا وأسعار البوفيه والوجبات مرتفع مع منع دخول مشروبات واكل والناس تجي من الصبح للمساء اتمن زياده المطاعم أو إدخال الطعام من مطاعم المدينه ويحتاج زياده خدمه وتوسيع وأضافه مسابح خارجيه وزياده المظلات والكراسي ونظافه التربه يوجد روائح كريهه تنبعث من تحت الكراسي وتجمعات مياه أو عصائر ولابد من متابعه الأطفال كي لايستخدمو التربه للتبول وغيره... هناك جهود وعمال مستمرين في متابعه الترتيب وللنظافه ولاكن الروائح كانت مثيره لاستغراب الكثير.. نحتاج مكان نظيف وصحي.... شكرا لكم واتمن لكم كل خير.... للمناقشه... أو التعقيب... انتظر ووقاي لكم...,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c9g8qqc8hb0qun2qahs0', 'sentiment': None}]",Yam Beach,"{'normalized': 100, 'raw': 5}"
377380-203584858093,Good place for time pass for kids.,2021-04-11T06:47:00+00:00,eng,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}, {'value': 'c07bdifepd3oq1r122rg', 'sentiment': None}]",Dolphin Village Dammam,"{'normalized': 80, 'raw': 4}"
377380-203587206829,مكان تراثي جميل جدا,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rqv8sbb64sdb6ukks0', 'sentiment': None}]",Ushaiqer Heritage Village,"{'normalized': 100, 'raw': 5}"
377380-173715966269,Amazing place for the holidays. Love It,2021-04-26T04:44:00+00:00,eng,"[{'value': 'c07bdkkbb64t6si78s20', 'sentiment': None}]",Mövenpick Resort Al Nawras Jeddah,"{'normalized': 100, 'raw': 5}"
377380-173748372785,فندق مميز مقابل النظافة والسعر والهدوء واختص بالشكر موظف الاستقبال الاخ زياد لحسن استقابله وتعامله,2021-04-26T15:28:00+00:00,ara,"[{'value': 'c07bdlkbb64t6si78sag', 'sentiment': None}]",فندق دوناتيلو Donatello Hotel,"{'normalized': 100, 'raw': 5}"
377380-203585572143,مكان رائع,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}, {'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rquskbb64sdb6ukkq0', 'sentiment': None}, {'value': 'c0rqv8sbb64sdb6ukks0', 'sentiment': None}, {'value': 'c07bdifepd3oq1r122rg', 'sentiment': None}]","King Abdullah Park, Sea front","{'normalized': 100, 'raw': 5}"
377380-203583051065,موقع أثري مرمم بشكل رائع ينقصه خدمات الإرشاد السياحي,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bkec8hb0r13sa7csg', 'sentiment': None}]",Marid Castle,"{'normalized': 100, 'raw': 5}"
377380-203584635098,Beautiful ❤,2021-04-11T06:47:00+00:00,eng,"[{'value': 'c9g9th4bb64rs4ni6s70', 'sentiment': None}]",Umluj Beach,"{'normalized': 100, 'raw': 5}"
377380-203588224078,بصراحة رووووعة ويستحق الزيارة عندهم لحم المندي من الاخرررر,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bjr48hb0r13sa7c20', 'sentiment': None}]",Al-Qaryah Al-Turathiyah Restaurant,"{'normalized': 80, 'raw': 4}"
377380-172173568992,I love it place this is beautiful masque in the world,2021-04-11T06:47:00+00:00,eng,"[{'value': 'c07bja4bb64t6si78uvg', 'sentiment': None}]",Masjid al-Haram,"{'normalized': 100, 'raw': 5}"
377380-173889165542,ممتاز جدا الشكر للجميع,2021-04-27T04:28:00+00:00,ara,"[{'value': 'c07bja4bb64t6si78uog', 'sentiment': None}]",Darhadi Hotel,"{'normalized': 100, 'raw': 5}"
377380-173773349738,فندق يمتاز بنظافته والهدوء و استقباله الرائع وتعاملهم الراقي,2021-04-27T12:10:00+00:00,ara,"[{'value': 'c07bja4bb64t6si78uog', 'sentiment': None}]",Midan Hotel,"{'normalized': 100, 'raw': 5}"
377380-203584976805,ارتفاع شاهق وطبيعه جنوبيه,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c9g869k8hb0qun2qahp0', 'sentiment': None}]",Al Sahab Park,"{'normalized': 100, 'raw': 5}"
377380-203589245128,وقت الربيع تكون من اجمل ما يكون هذي الصور في شهر نوفمبر,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c9g9s7sbb64rs4ni6s6g', 'sentiment': None}]",Park Alheefah,"{'normalized': 80, 'raw': 4}"
377380-203586126274,"مساحة كبيرة، العاب اطفال رائعة، تعتمد للزيارات القادمة بإذن الله",2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}]",Falah Park,"{'normalized': 100, 'raw': 5}"
377380-174019291365,ماشاء الله تبارك الرحمن الفندق اكثر من رائع وفخم ونظيف جدا وموظفين الاستقبال جدا رائعين انصح فيه بشدة,2021-04-28T14:04:00+00:00,ara,"[{'value': 'c07bdkkbb64t6si78s20', 'sentiment': None}]",Ruve Jeddah Hotel,"{'normalized': 100, 'raw': 5}"
377380-203582869090,راااااائع المكان والتنظيم جميل جدا للتصوير شي خرافي Recomend it for sure👍🏻👍🏻,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdfc8hb0r13sa7agg', 'sentiment': None}]",Al-Qara Hill,"{'normalized': 80, 'raw': 4}"
377380-174034517930,مغلق ويتم تغيير الفندق دون اشعار الضيف.إدارة فاشلة من الاخر,2021-04-28T18:49:00+00:00,ara,"[{'value': 'c07bja4bb64t6si78uog', 'sentiment': None}]",DoubleTree by Hilton Makkah Jabal Omar,"{'normalized': 20, 'raw': 1}"
377380-203586635763,مرتب ونظيف,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}, {'value': 'c07bdifepd3oq1r122rg', 'sentiment': None}]",Dammam Corniche,"{'normalized': 60, 'raw': 3}"
377380-203587563864,مقفل من رمضان ١٤٤١ عشان كورونا المتحف خسارة كان نفسي اشوف,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}]",The Saudi National Museum - The Saudi National Museum,"{'normalized': 60, 'raw': 3}"
377380-174044976482,ممتاز,2021-04-28T22:24:00+00:00,ara,"[{'value': 'c07bja4bb64t6si78uog', 'sentiment': None}]","Makkah Clock Royal Tower, A Fairmont Hotel","{'normalized': 100, 'raw': 5}"
377380-203585727210,شي جميل مرتب مفروض في كل انحاء الرياض مسطحات الخضراء,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}]",Al Hamra Park,"{'normalized': 100, 'raw': 5}"
377380-203597272894,منتزه رائع جدا ..,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Arruddaf Park,"{'normalized': 100, 'raw': 5}"
377380-173978211326,متواضع نظيف لاكن الطعام بخدمة الغرف دون المستوى ولون الإضائه الابيض بالغرف هو اسوئ ما في الفندق,2021-04-29T05:05:00+00:00,ara,"[{'value': 'c0rquskbb64sdb6ukkq0', 'sentiment': None}, {'value': 'c0rqv44bb64sdb6ukkr0', 'sentiment': None}]",Novotel Suites Riyadh Dyar,"{'normalized': 60, 'raw': 3}"
377380-203588641240,جميل والاجواء في فندق ارمادا اكثر من رائعة,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Al Hada Cable Car,"{'normalized': 60, 'raw': 3}"
377380-203591482060,حديقة الملك عبدالله بالرياض من أفضل الأماكن السياحية. انصح الجميع بزيارتها,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rquskbb64sdb6ukkq0', 'sentiment': None}, {'value': 'c0rqv8sbb64sdb6ukks0', 'sentiment': None}]",King Abdullah Park,"{'normalized': 100, 'raw': 5}"
377380-203588505763,Strongly recommend.,2021-04-11T06:47:00+00:00,eng,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Al-Waba Crater,"{'normalized': 100, 'raw': 5}"
377380-203587820310,مرة ممتاز والله يفتح النفس لاكن متحف نفسه كان مغلق,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}]",The Saudi National Museum - The Saudi National Museum,"{'normalized': 100, 'raw': 5}"
377380-174035985441,فندق جميل جدا ... والموظفين رائعين,2021-04-29T19:17:00+00:00,ara,"[{'value': 'c07bja4bb64t6si78uog', 'sentiment': None}]",Midan Hotel,"{'normalized': 100, 'raw': 5}"
377380-203588224637,nice.very beautiful,2021-04-11T06:47:00+00:00,eng,"[{'value': 'c07bjunepd3oq1r125cg', 'sentiment': None}, {'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Al Faisaliah garden,"{'normalized': 100, 'raw': 5}"
377380-203587507468,Historical place need some arrangement,2021-04-11T06:47:00+00:00,eng,"[{'value': 'c9g9fck8hb0qun2qahug', 'sentiment': None}]",12 Springs of Prophet Moses (A.S.),"{'normalized': 100, 'raw': 5}"
377380-174152230418,ممتاز,2021-04-30T05:29:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123jg', 'sentiment': None}]",Madinah Hilton,"{'normalized': 100, 'raw': 5}"
377380-203582820578,"شاطئ العقير ، يبعد عن الأحساء تقريبا ثمانين كيلا . بعد التجديد والتحسين والتطوير أصبح مقصدا سياحيا رائعا ، اجتمع فيه البحر بسيف رملي نظيف مع مسطحات خضراء وأشجار وجلسات ومظلات وكبائن ومواقد للشواء ودورات مياه . المكان يستحق أن تجعل له يوما كاملا . ملاحظة : يجب عليك اختيار الوقت المناسب للرحلة لكي تستمتع بالأجواء العليلة . ولا تتأخر في المجيء لكي تجد مكانا مناسبا . ولا تنس احضار كل ما يلزم لاكتمال الرحلة من أدوات الجلوس والمتعة والسباحة والطعام والشراب وغيرها . يوجد قسم ضيافة خاص بالأمانة في الجهة شمالية .",2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdfc8hb0r13sa7ag0', 'sentiment': None}, {'value': 'c07bdfc8hb0r13sa7agg', 'sentiment': None}]",Uqair Beach,"{'normalized': 60, 'raw': 3}"
377380-203590492610,جميل جداًً,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Green Mountain Resort,"{'normalized': 100, 'raw': 5}"
377380-203587692340,ممتاز,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rqv8sbb64sdb6ukks0', 'sentiment': None}]",Rawdah Park,"{'normalized': 100, 'raw': 5}"
377380-203583217417,مكان رائع جدا,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c9g7o87epd3vh6lri8bg', 'sentiment': None}]",Jabal Sawda,"{'normalized': 60, 'raw': 3}"
377380-203585459627,مكان جميل وهاااادئ.. ودائما مزدحم,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c9g7o87epd3vh6lri8bg', 'sentiment': None}]",Abu Kheyal Park,"{'normalized': 100, 'raw': 5}"
377380-203583043265,ذكريات الطفوله,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdfc8hb0r13sa7agg', 'sentiment': None}]",Al Ahsa National Park,"{'normalized': 100, 'raw': 5}"
377380-203584376758,هدوء وجميل جدا,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}, {'value': 'c07bdifepd3oq1r122rg', 'sentiment': None}]",Modon Lake Park,"{'normalized': 100, 'raw': 5}"
377380-203585730381,رايقة,2021-04-11T06:48:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}]",Al Hamra Park,"{'normalized': 100, 'raw': 5}"
377380-203588648251,Terrific !!! Loved it ❤❤,2021-04-11T06:48:00+00:00,eng,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Al Hada Cable Car,"{'normalized': 100, 'raw': 5}"
377380-174284568517,Good clean rooms,2021-05-02T19:05:00+00:00,eng,"[{'value': 'c0rqv44bb64sdb6ukkr0', 'sentiment': None}]","Crowne Plaza Riyadh Minhal, an IHG Hotel","{'normalized': 80, 'raw': 4}"
377380-203585032129,استمتعنا .. كانت رحلة فريده من نوعها.. مبهر من كل ناحيه😍 لا يعيبه الا الموسيقى في بعض الاركان 👎🏻💔,2021-04-11T06:48:00+00:00,ara,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}, {'value': 'c07bdifepd3oq1r122rg', 'sentiment': None}]",King Abdulaziz Center for World Culture - Ithra,"{'normalized': 80, 'raw': 4}"
377380-203589031790,"It is zero .... How can we called NATIONAL PARK... there is nothing , you can only make barbecue but at the end , the playground for the children are on rocks and sand , which is not safe for the children , the games are in steel under the hot sun ..... I don’t recommended it , oooh sorry there is also one river , the water is black !",2021-04-11T06:48:00+00:00,eng,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Saiysad National park,"{'normalized': 20, 'raw': 1}"
377380-203585054616,طبيعة المكان ووفرة الجلسات والخدمات,2021-04-11T06:48:00+00:00,ara,"[{'value': 'c9g7u348hb0qun2qahng', 'sentiment': None}]",Prince Hussam Park,"{'normalized': 100, 'raw': 5}"
377380-203597258204,مكان جميل جدا,2021-04-11T06:48:00+00:00,ara,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Arruddaf Park,"{'normalized': 100, 'raw': 5}"
